,venue,year,keyword,count,rank,rgb_color,hex_color
65,NeurIPS.cc/2021/Conference,2021,Non-Convex Optimization,19,19,"[113, 15, 113]",710F71
66,NeurIPS.cc/2021/Conference,2021,Recurrent Neural Network,19,19,"[113, 15, 113]",710F71
67,NeurIPS.cc/2021/Conference,2021,Domain Generalization,18,18,"[113, 15, 113]",710F71
68,NeurIPS.cc/2021/Conference,2021,Uncertainty Quantification,18,18,"[113, 15, 113]",710F71
69,NeurIPS.cc/2021/Conference,2021,Bandits,17,17,"[113, 15, 113]",710F71
70,NeurIPS.cc/2021/Conference,2021,Deep Generative Model,17,17,"[113, 15, 113]",710F71
71,NeurIPS.cc/2021/Conference,2021,Density Estimation,17,17,"[113, 15, 113]",710F71
72,NeurIPS.cc/2021/Conference,2021,Dynamical Systems,17,17,"[113, 15, 113]",710F71
73,NeurIPS.cc/2021/Conference,2021,Neural Architecture Search,17,17,"[113, 15, 113]",710F71
74,NeurIPS.cc/2021/Conference,2021,Adversarial Training,16,16,"[113, 15, 113]",710F71
75,NeurIPS.cc/2021/Conference,2021,Bayesian Inference,16,16,"[113, 15, 113]",710F71
76,NeurIPS.cc/2021/Conference,2021,Combinatorial Optimization,16,16,"[113, 15, 113]",710F71
77,NeurIPS.cc/2021/Conference,2021,Reinforcement Learning Theory,16,16,"[113, 15, 113]",710F71
78,NeurIPS.cc/2021/Conference,2021,Sample Complexity,16,16,"[113, 15, 113]",710F71
79,NeurIPS.cc/2021/Conference,2021,Consistency,15,15,"[113, 15, 113]",710F71
80,NeurIPS.cc/2021/Conference,2021,Data Augmentation,15,15,"[113, 15, 113]",710F71
81,NeurIPS.cc/2021/Conference,2021,Gaussian Process,15,15,"[113, 15, 113]",710F71
82,NeurIPS.cc/2021/Conference,2021,Neural Tangent Kernel,15,15,"[113, 15, 113]",710F71
83,NeurIPS.cc/2021/Conference,2021,Normalizing Flows,15,15,"[113, 15, 113]",710F71
84,NeurIPS.cc/2021/Conference,2021,Stochastic Gradient Descent,15,15,"[113, 15, 113]",710F71
85,NeurIPS.cc/2021/Conference,2021,Bayesian Neural Network,14,14,"[113, 15, 113]",710F71
86,NeurIPS.cc/2021/Conference,2021,Convolutional Neural Network,14,14,"[113, 15, 113]",710F71
87,NeurIPS.cc/2021/Conference,2021,Equivariance,14,14,"[113, 15, 113]",710F71
88,NeurIPS.cc/2021/Conference,2021,Gan,14,14,"[113, 15, 113]",710F71
89,NeurIPS.cc/2021/Conference,2021,Graph Representation Learning,14,14,"[113, 15, 113]",710F71
90,NeurIPS.cc/2021/Conference,2021,Information Theory,14,14,"[113, 15, 113]",710F71
91,NeurIPS.cc/2021/Conference,2021,Invariance,14,14,"[113, 15, 113]",710F71
